Bairro,População,Homicídios,Taxa /100K/ano,Categoria
Sé,23832,34,47.6,Mais Perigosos (Top 15)
Brás,38750,26,22.4,Mais Perigosos (Top 15)
República,60825,30,16.4,Mais Perigosos (Top 15)
Jaguara,24730,11,14.8,Mais Perigosos (Top 15)
Pari,17359,7,13.4,Mais Perigosos (Top 15)
Capão Redondo,270767,93,11.5,Mais Perigosos (Top 15)
Guaianases,109316,34,10.4,Mais Perigosos (Top 15)
Jaçanã,87329,27,10.3,Mais Perigosos (Top 15)
São Mateus,155682,47,10.1,Mais Perigosos (Top 15)
Vila Leopoldina,46875,14,10.0,Mais Perigosos (Top 15)
Bom Retiro,33520,10,9.9,Mais Perigosos (Top 15)
Santa Cecília,80972,24,9.9,Mais Perigosos (Top 15)
Brasilândia,243273,70,9.6,Mais Perigosos (Top 15)
Pinheiros,65145,18,9.2,Mais Perigosos (Top 15)
Jardim São Luís,259377,71,9.1,Mais Perigosos (Top 15)
Cursino,103171,0,0.0,Mais Seguros
Jardim Paulista,81859,4,1.6,Mais Seguros
Perdizes,102391,7,2.3,Mais Seguros
Campo Grande,115925,8,2.3,Mais Seguros
Carrão,84397,7,2.8,Mais Seguros
Saúde,128469,11,2.9,Mais Seguros
Marsilac,11451,1,2.9,Mais Seguros
Tucuruvi,99559,9,3.0,Mais Seguros
Ponte Rasa,89881,9,3.3,Mais Seguros
Água Rasa,85788,9,3.5,Mais Seguros
